<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
Educação educação NP00O00 1 00883297-n:0.00530778/00887081-n:0.0043635/05984287-n:0.00432403/05753564-n:0.00427985/04921900-n:0.00404366
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
exercício exercício NCMS000 1 00624738-n:0.00354693/00894552-n:0.00354115/15203120-n:0.00339775/00729919-n:0.00323875
de de SP 1 -
suas seu DP3FSP 0.994048 -
funções função NCFP000 1 00582388-n:0.00372126/00720565-n:0.00363872/05149325-n:0.0035098/00722061-n:0.00342073
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.0136703
em em SP 1 -
1964 1964 Z 1 -
, , Fc 1 -
Aureliano aureliano NP00SP0 1 -
visitou visitar VMIS3S0 1 01844431-v:0.00519563/02493030-v:0.00477222/01843689-v:0.00474185
o o DA0MS0 0.950254 -
México méxico NP00G00 1 -
e e CC 0.999951 -
os o DA0MP0 0.958022 -
Estados_Unidos estados_unidos NP00G00 1 -
, , Fc 1 -
em em SP 1 -
viagem viagem NCFS000 1 00306426-n:0.00408551/00312784-n:0.00381893/00295701-n:0.0037768/00312553-n:0.00367619
de de SP 1 -
estudos estudo NCMP000 1 -
a a SP 0.313151 -
convite convite NCMS000 1 07186148-n:0.0143609
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
governos governo NCMP000 1 08050678-n:0.0049685/01124794-n:0.00477002/00815173-n:0.00440404
de de SP 1 -
esses esse DD0MP0 1 -
países país NCMP000 1 08654360-n:0.00380729/08168978-n:0.00380152/08544813-n:0.00377374/08552138-n:0.00372044
. . Fp 1 -

Em em SP 1 -
julho_de_1965 [??:??/7/1965:??.??:??] W 1 -
demitiu demitir VMIS3S0 1 -
se se PP3CN00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Secretaria_de_Educação secretaria_de_educação NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
mês mês NCMS000 1 15206296-n:0.00603441/15209413-n:0.00582645/15207872-n:0.00485829
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00680258/00127815-a:0.00678236
