<OUTPUT SRCFILE="8873.raw">
conselho conselho NCMS000 1 06671484-n:0.029074
nacional nacional AQ0CS00 0.966867 01105840-a:0.00970208/01567862-a:0.00853337/02988060-a:0.00825634/02988402-a:0.00793032/02988281-a:0.00768242/01861776-a:0.00740981/01038332-a:0.00732613
e e CC 0.999951 -
o o DA0MS0 0.950254 -
departamento departamento NCMS000 1 08114861-n:0.01618/08220714-n:0.0147142
nacional nacional AQ0CS00 0.966867 01105840-a:0.00970208/01567862-a:0.00853337/02988060-a:0.00825634/02988402-a:0.00793032/02988281-a:0.00768242/01861776-a:0.00740981/01038332-a:0.00732613
constituíram constituir VMIM3P0 1 -
se se PP3CN00 1 -
órgãos órgão NCMP000 1 03854065-n:0.00450499/05297523-n:0.00414813/03273551-n:0.00408714/03494537-n:0.0038549/06595056-n:0.00382124/13087625-n:0.00380339/08349350-n:0.00371521
nacionais nacional AQ0CP00 0.991803 01105840-a:0.00970208/01567862-a:0.00853337/02988060-a:0.00825634/02988402-a:0.00793032/02988281-a:0.00768242/01861776-a:0.00740981/01038332-a:0.00732613
. . Fp 1 -

Os o DA0MP0 0.958022 -
órgãos órgão NCMP000 1 03854065-n:0.0054038/05297523-n:0.00496333/03273551-n:0.00490381/03494537-n:0.00462556/06595056-n:0.00458468/13087625-n:0.00456319/08349350-n:0.00445335
regionais regional AQ0CP00 1 02871858-a:0.0165893/02408977-a:0.0164712
dividiram dividir VMIM3P0 1 -
se se PP3CN00 1 -
em em SP 1 -
conselhos conselho NCMP000 1 06671484-n:0.0348746
regionais regional AQ0CP00 1 02871858-a:0.0165893/02408977-a:0.0164712
e e CC 0.999951 -
departamentos departamento NCMP000 1 08114861-n:0.0193968/08220714-n:0.0176483
regionais regional AQ0CP00 1 02871858-a:0.0165893/02408977-a:0.0164712
. . Fp 1 -

A a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
presidente presidente NCMS000 0.998938 10467395-n:0.00391693/10468962-n:0.0037539/10467179-n:0.00350045/10469346-n:0.00330744/10468750-n:0.00327979/10468559-n:0.00317071
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00976878/08361329-n:0.00926869
coube caber VMIS3S0 0.65 00050652-v:0.0190445
a o DA0FS0 0.675415 -
função função NCFS000 1 00720565-n:0.00494727/00582388-n:0.00489421/05149325-n:0.00468686/00722061-n:0.00456513
de de SP 1 -
indicar indicar VMN0000 0.529581 00923793-v:0.00477572/01058574-v:0.00464693/00921300-v:0.00452524/00928015-v:0.00450917
o o DA0MS0 0.950254 -
